Element,Description,Categories,Parents†,Children,Attributes,Interface
a,Hyperlink,flow; phrasing*;interactive,phrasing,transparent*,globals; href; target; download; rel; hreflang; type,HTMLAnchorElement
abbr,Abbreviation,flow; phrasing,phrasing,phrasing,globals,HTMLElement
address,Contact information for a page or articleelement,flow,flow,flow*,globals,HTMLElement
area,Hyperlink or dead area on an image map,flow; phrasing,phrasing*,empty,globals; alt; coords; shape; href; target; download; rel;hreflang; type,HTMLAreaElement
article,Self-contained syndicatable or reusable composition,flow; sectioning,flow,flow,globals,HTMLElement
aside,Sidebar for tangentially related content,flow; sectioning,flow,flow,globals,HTMLElement
audio,Audio player,flow; phrasing;embedded; interactive,phrasing,source*;transparent*,globals; src; crossorigin; preload; autoplay; mediagroup;loop; muted; controls,HTMLAudioElement
b,Keywords,flow; phrasing,phrasing,phrasing,globals,HTMLElement
base,Base URL and default targetbrowsing contextfor hyperlinksand forms,metadata,head;template,empty,globals; href; target,HTMLBaseElement
bdi,Text directionality isolation,flow; phrasing,phrasing,phrasing,globals,HTMLElement
bdo,Text directionality formatting,flow; phrasing,phrasing,phrasing,globals,HTMLElement
blockquote,A section quoted from another source,flow; sectioning root,flow,flow,globals; cite,HTMLQuoteElement
body,Document body,sectioning root,html,flow,globals; onafterprint; onbeforeprint; onbeforeunload;onhashchange; onmessage; onoffline; ononline; onpagehide;onpageshow; onpopstate; onstorage; onunload,HTMLBodyElement
br,"Line break, e.g. in poem or postal address",flow; phrasing,phrasing,empty,globals,HTMLBRElement
button,Button control,flow; phrasing;interactive; listed;labelable; submittable;reassociateable; form-associated,phrasing,phrasing*,globals; autofocus; disabled; form; formaction; formenctype;formmethod; formnovalidate; formtarget; name; type; value,HTMLButtonElement
canvas,Scriptable bitmap canvas,flow; phrasing;embedded,phrasing,transparent,globals; width; height,HTMLCanvasElement
caption,Table caption,none,table;template,flow*,globals,HTMLTableCaptionElement
cite,Title of a work,flow; phrasing,phrasing,phrasing,globals,HTMLElement
code,Computer code,flow; phrasing,phrasing,phrasing,globals,HTMLElement
col,Table column,none,colgroup;template,empty,globals; span,HTMLTableColElement
colgroup,Group of columns in a table,none,table;template,col*; script-supporting elements*,globals; span,HTMLTableColElement
data,Machine-readable equivalent,flow; phrasing,phrasing,phrasing,globals; value,HTMLDataElement
datalist,Container for options forcombo box control,flow; phrasing,phrasing,phrasing; option,globals,HTMLDataListElement
dd,Content for correspondingdt element(s),none,dl;template,flow,globals,HTMLElement
del,A removal from the document,flow; phrasing*,phrasing,transparent,globals; cite; datetime,HTMLModElement
dfn,Defining instance,flow; phrasing,phrasing,phrasing*,globals,HTMLElement
